Source identifier ,Plume latitude (deg),Plume longitude (deg),Candidate identifier,Date of detection,Time of detection (UTC),Source type (best estimate),Sectors (IPCC),Qplume (kg/hr): Plume emissions,Sigma Qplume (kg/hr): Uncertainty for plume emissions
S00949,35.478814,-119.754111,ang20170902t212540-B,9/2/17,21:25,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,575,264
S00951,35.306719,-119.710038,ang20171013t214049-B,10/13/17,21:40,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,145,48
S00953,35.437692,-119.008937,ang20170309t195546-C,3/9/17,19:55,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,125,33
S00954,35.442622,-119.000566,ang20170309t195546-D,3/9/17,19:55,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,,
S00955,36.103687,-119.451897,ang20170309t201212-A,3/9/17,20:12,dairy/manure,3A2 Manure Management,,
S00957,36.148927,-119.277947,ang20170309t202411-H,3/9/17,20:24,dairy/manure,3A2 Manure Management,112,47
S00958,36.225585,-119.164414,ang20170309t202411-J,3/9/17,20:24,dairy/manure,3A2 Manure Management,165,69
S00959,36.228564,-119.165915,ang20170309t202411-K,3/9/17,20:24,dairy/manure,3A2 Manure Management,104,32
S00960,36.231254,-119.164158,ang20170309t202411-L,3/9/17,20:24,dairy/manure,3A2 Manure Management,220,90
S00962,33.818714,-118.236133,ang20170309t221021-E,3/9/17,22:10,refinery,1A1 Energy Industries,257,152
S00963,34.40608,-118.99181,ang20171016t202039-A,10/16/17,20:20,landfill,4A1 Managed Waste Disposal Sites,522,345
S00964,34.4051,-118.99399,ang20160930t211208-B,9/30/16,21:12,landfill,4A1 Managed Waste Disposal Sites,660,346
S00965,34.40586,-118.99502,ang20171016t204547-D,10/16/17,20:45,landfill,4A1 Managed Waste Disposal Sites,1446,927
S00967,35.201844,-119.053776,ang20170615t220302-B,6/15/17,22:03,dairy/manure,3A2 Manure Management,47,6
S00968,35.201378,-119.049871,ang20170615t220302-C,6/15/17,22:03,dairy/manure,3A2 Manure Management,74,13
S00969,35.28243464,-119.4735025,ang20170615t230609-A,6/15/17,23:06,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,166,22
S00969,35.28243464,-119.4735025,ang20170615t233419-C,6/15/17,23:34,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,164,22
S00969,35.28243464,-119.4735025,ang20170620t164237-E,6/20/17,16:42,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,29,21
S00969,35.28243464,-119.4735025,ang20170620t164926-C,6/20/17,16:49,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,132,94
S00969,35.28243464,-119.4735025,ang20170620t165600-B,6/20/17,16:56,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,44,37
S00970,35.288074,-119.421941,ang20170615t232626-A,6/15/17,23:26,oil/gas pumpjack,1B2 Oil & Natural Gas,161,78
S00972,35.284924,-119.484107,ang20170615t233419-D,6/15/17,23:34,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,143,14
S00973,35.296736,-119.53744,ang20170615t233419-E,6/15/17,23:34,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,216,67
S00973,35.296736,-119.53744,ang20170620t164237-M,6/20/17,16:42,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,97,68
S00974,35.264659,-119.412672,ang20170615t234140-B,6/15/17,23:41,oil/gas gathering line,1B2 Oil & Natural Gas,195,148
